11区	(11 qū)
不知就里	(bù zhī jiù lǐ)
不知疲倦	(bù zhī pí juàn)
不知轻重	(bù zhī qīng zhòng)
不知去向	(bù zhī qù xiàng)
不知死活	(bù zhī sǐ huó)
不知所措	(bù zhī suǒ cuò)
不知所谓	(bù zhī suǒ wèi)
不知所以	(bù zhī suǒ yǐ)
不知所云	(bù zhī suǒ yún)
不知所之	(bù zhī suǒ zhī)
不知所终	(bù zhī suǒ zhōng)
不知所踪	(bù zhī suǒ zōng)
不知天高地厚	(bù zhī tiān gāo dì hòu)
不知痛痒	(bù zhī tòng yǎng)
不知羞耻	(bù zhī xiū chǐ)
不知者不罪	(bù zhī zhě bù zuì)
不值	(bù zhí)
不值得	(bù zhí de)
不值钱	(bù zhí qián)
不值一驳	(bù zhí yī bó)
不值一文	(bù zhí yī wén)
不值一笑	(bù zhí yī xiào)
不止	(bù zhǐ)
不止一次	(bù zhǐ yī cì)
不只	(bù zhǐ)
不至于	(bù zhì yú)
不忮不求	(bù zhì bù qiú)
不治	(bù zhì)
不治而愈	(bù zhì ér yù)
不治之症	(bù zhì zhī zhèng)
不致	(bù zhì)
不智	(bù zhì)
不置可否	(bù zhì kě fǒu)
不中意	(bù zhòng yì)
不中用	(bù zhōng yòng)
不周	(bù zhōu)
不周山	(bù zhōu shān)
不周延	(bù zhōu yán)
不主故常	(bù zhǔ gù cháng)
不住	(bù zhù)
不注意	(bù zhù yì)
不撞南墙不回头	(bù zhuàng nán qiáng bù huí tóu)
不准	(bù zhǔn)
不准确	(bù zhǔn què)
不准许	(bù zhǔn xǔ)
不赀	(bù zī)
不自量	(bù zì liàng)
不自量力	(bù zì liàng lì)
不自然	(bù zì rán)
不自由，毋宁死	(bù zì yóu , wú nìng sǐ)
不自在	(bù zì zai)
不足	(bù zú)
不足齿数	(bù zú chǐ shù)
不足道	(bù zú dào)
不足挂齿	(bù zú guà chǐ)
不足为道	(bù zú wéi dào)
不足为怪	(bù zú wéi guài)
不足为虑	(bù zú wéi lǜ)
不足为奇	(bù zú wéi qí)
不足为外人道	(bù zú wèi wài rén dào)
不足为训	(bù zú wéi xùn)
不足月	(bù zú yuè)
不醉不归	(bù zuì bù guī)
不作死就不会死	(bù zuò sǐ jiù bù huì sǐ)
不作为	(bù zuò wéi)
不做亏心事，不怕鬼敲门	(bù zuò kuī xīn shì , bù pà guǐ qiāo mén)
不做声	(bù zuò shēng)
布	(bù)
布帛	(bù bó)
布帛菽粟	(bù bó shū sù)
布城	(bù chéng)
布达拉宫	(bù dá lā gōng)
布达拉山	(bù dá lā shān)
布达佩斯	(bù dá pèi sī)
布袋	(bù dài)
布袋弹	(bù dài dàn)
布袋戏	(bù dài xì)
布袋戏偶	(bù dài xì ǒu)
布袋镇	(bù dài zhèn)
布道	(bù dào)
布迪亚	(bù dí yà)
布丁	(bù dīng)
布尔	(bù ěr)
布尔代数	(bù ěr dài shù)
布尔津县	(bù ěr jīn xiàn)
布尔诺	(bù ěr nuò)
布尔乔亚	(bù ěr qiáo yà)
布尔什维克	(bù ěr shí wéi kè)
布法罗	(bù fǎ luó)
布防	(bù fáng)
布防迎战	(bù fáng yíng zhàn)
布斐	(bù fěi)
布干维尔	(bù gān wéi ěr)
布干维尔岛	(bù gān wéi ěr dǎo)
布告	(bù gào)
布告栏	(bù gào lán)
布格麦	(bù gé mài)
布谷	(bù gǔ)
布谷鸟	(bù gǔ niǎo)
布哈拉	(bù hā lā)
布痕瓦尔德	(bù hén wǎ ěr dé)
布基纳法索	(bù jī nà fǎ suǒ)
布吉河	(bù jí hé)
布吉纳法索	(bù jí nà fǎ suǒ)
布加迪	(bù jiā dí)
布加勒斯特	(bù jiā lè sī tè)
布加综合征	(bù jiā zōng hé zhēng)
布建	(bù jiàn)
布巾	(bù jīn)
布景	(bù jǐng)
布局	(bù jú)
布局投手	(bù jú tóu shǒu)
布坎南	(bù kǎn nán)
布控	(bù kòng)
布拉柴维尔	(bù lā chái wéi ěr)
布拉德福德	(bù lā dé fú dé)
布拉迪斯拉发	(bù lā dí sī lā fā)
布拉戈维申斯克	(bù lā gē wéi shēn sī kè)
布拉格	(bù lā gé)
布拉吉	(bù lā jí)
布拉萨市	(bù lā sà shì)
布拉索夫	(bù lā suǒ fū)
布拉提斯拉瓦	(bù lā tí sī lā wǎ)
布莱德湖	(bù lái dé hú)
布莱顿	(bù lái dùn)
布莱恩	(bù lái ēn)
布莱尔	(bù lái ěr)
布莱克本	(bù lái kè běn)
布莱克史密斯	(bù lái kè shǐ mì sī)
布莱尼	(bù lái ní)
布莱氏鹨	(bù lái shì liù)
布莱叶	(bù lái yè)
布兰妮·斯皮尔斯	(bù lán nī · sī pí ěr sī)
布兰森	(bù lán sēn)
布朗	(bù lǎng)
布朗大学	(bù lǎng dà xué)
布朗克士	(bù lǎng kè shì)
布朗克斯	(bù lǎng kè sī)
布朗尼	(bù lǎng ní)
布朗士	(bù lǎng shì)
布朗运动	(bù lǎng yùn dòng)
布朗族	(bù lǎng zú)
布劳恩	(bù láo ēn)
布雷	(bù léi)
布雷舰	(bù léi jiàn)
布雷斯特	(bù léi sī tè)
布里奇顿	(bù lǐ qí dùn)
布里斯班	(bù lǐ sī bān)
布里斯托	(bù lǐ sī tuō)
布里斯托尔	(bù lǐ sī tuō ěr)
布里斯托尔海峡	(bù lǐ sī tuō ěr hǎi xiá)
布里坦尼	(bù lǐ tǎn ní)
布里特妮	(bù lǐ tè nī)
布料	(bù liào)
布列斯特	(bù liè sī tè)
布列塔尼	(bù liè tǎ ní)
布林	(bù lín)
布林迪西	(bù lín dí xī)
布隆伯格	(bù lōng bó gé)
布隆迪	(bù lóng dí)
布隆方丹	(bù lóng fāng dān)
布鲁克	(bù lǔ kè)
布鲁克海文国家实验室	(bù lǔ kè hǎi wén guó jiā shí yàn shì)
布鲁克海文实验室	(bù lǔ kè hǎi wén shí yàn shì)
布鲁克林	(bù lǔ kè lín)
布鲁克林大桥	(bù lǔ kè lín dà qiáo)
布鲁姆斯伯里	(bù lǔ mǔ sī bó lǐ)
布鲁日	(bù lǔ rì)
布鲁塞尔	(bù lǔ sài ěr)
布鲁氏菌病	(bù lǔ shì jūn bìng)
布鲁斯	(bù lǔ sī)
布鲁特斯	(bù lǔ tè sī)
布鲁图斯	(bù lǔ tú sī)
布伦尼	(bù lún ní)
布洛芬	(bù luò fēn)
布洛陀	(bù luò tuó)
布满	(bù mǎn)
布幕	(bù mù)
布囊	(bù náng)
布尼亚病毒	(bù ní yà bìng dú)
布匿战争	(bù nì zhàn zhēng)
布农族	(bù nóng zú)
布偶	(bù ǒu)
布偶猫	(bù ǒu māo)
布偶装	(bù ǒu zhuāng)
布匹	(bù pǐ)
布琼布拉	(bù qióng bù lā)
布热津斯基	(bù rè jīn sī jī)
布洒器	(bù sǎ qì)
布什	(bù shí)
布什尔	(bù shí ěr)
布施	(bù shī)
布氏非鲫	(bù shì fēi jì)
布氏杆菌病	(bù shì gǎn jūn bìng)
布氏鹨	(bù shì liù)
布氏苇莺	(bù shì wěi yīng)
布署	(bù shǔ)
布松布拉	(bù sōng bù lā)
布托	(bù tuō)
布拖县	(bù tuō xiàn)
布娃娃	(bù wá wa)
布伍	(bù wǔ)
布希	(bù xī)
布希威克	(bù xī wēi kè)
布希鞋	(bù xī xié)
布下	(bù xià)
布线	(bù xiàn)
布鞋	(bù xié)
布须曼人	(bù xū màn rén)
布衣	(bù yī)
布衣韦带	(bù yī wéi dài)
布依	(bù yī)
布依族	(bù yī zú)
布宜诺斯艾利斯	(bù yí nuò sī ài lì sī)
布展	(bù zhǎn)
布置	(bù zhì)
步	(bù)
步兵	(bù bīng)
步步	(bù bù)
步步高升	(bù bù gāo shēng)
步步为营	(bù bù wéi yíng)
步操	(bù cāo)
步测	(bù cè)
步道	(bù dào)
步登公寓	(bù dēng gōng yù)
步调	(bù diào)
步调一致	(bù diào yī zhì)
步斗踏罡	(bù dǒu tà gāng)
步伐	(bù fá)
步法	(bù fǎ)
步罡踏斗	(bù gāng tà dǒu)
步话机	(bù huà jī)
步进马达	(bù jìn mǎ dá)
步进制	(bù jìn zhì)
步犁	(bù lí)
步履	(bù lǚ)
步履蹒跚	(bù lǚ pán shān)
步履维艰	(bù lǚ wéi jiān)
步辇	(bù niǎn)
步枪	(bù qiāng)
步人后尘	(bù rén hòu chén)
步入	(bù rù)
步哨	(bù shào)
步态	(bù tài)
步态蹒跚	(bù tài pán shān)
步武	(bù wǔ)
步行	(bù xíng)
步行虫	(bù xíng chóng)
步行街	(bù xíng jiē)
步行区	(bù xíng qū)
步行者	(bù xíng zhě)
步摇	(bù yáo)
步月	(bù yuè)
步韵	(bù yùn)
步骤	(bù zhòu)
步子	(bù zi)
步子太大，容易扯着蛋	(bù zi tài dà , róng yì chě zhe dàn)
步足	(bù zú)
吥	(bù)
歨	(bù)
歩	(bù)
怖	(bù)
埗	(bù)
捗	(bù)
悑	(bù)
埠	(bù)
埠头	(bù tóu)
攃	(sà)
擦	(cā)
擦棒球	(cā bàng qiú)
擦边	(cā biān)
擦边球	(cā biān qiú)
擦擦笔	(cā cā bǐ)
擦除	(cā chú)
擦掉	(cā diào)
擦腚纸	(cā dìng zhǐ)
擦干	(cā gān)
擦黑儿	(cā hēi r)
擦肩而过	(cā jiān ér guò)
擦亮	(cā liàng)
擦亮眼睛	(cā liàng yǎn jīng)
擦掠	(cā lüè)
擦抹	(cā mǒ)
擦屁股	(cā pì gu)
擦枪走火	(cā qiāng zǒu huǒ)
擦伤	(cā shāng)
擦身而过	(cā shēn ér guò)
擦拭	(cā shì)
擦丝	(cā sī)
擦碗布	(cā wǎn bù)
擦网球	(cā wǎng qiú)
擦洗	(cā xǐ)
擦鞋垫	(cā xié diàn)
擦写	(cā xiě)
擦音	(cā yīn)
擦油	(cā yóu)
擦澡	(cā zǎo)
擦撞	(cā zhuàng)
擦子	(cā zi)
嚓	(cā)
嚓嚓	(cā cā)
偲	(cāi)
偲偲	(sī sī)
才	(cái)
才不	(cái bù)
才德	(cái dé)
才分	(cái fèn)
才干	(cái gàn)
才高八斗	(cái gāo bā dǒu)
才怪	(cái guài)
才华	(cái huá)
才华出众	(cái huá chū zhòng)
才华盖世	(cái huá gài shì)
才华横溢	(cái huá héng yì)
才兼文武	(cái jiān wén wǔ)
才略	(cái lüè)
才貌双全	(cái mào shuāng quán)
才能	(cái néng)
才女	(cái nǚ)
才气	(cái qì)
才气过人	(cái qì guò rén)
才识	(cái shí)
才识过人	(cái shí guò rén)
才疏学浅	(cái shū xué qiǎn)
才思	(cái sī)
才学	(cái xué)
才艺	(cái yì)
才艺秀	(cái yì xiù)
才媛	(cái yuàn)
才智	(cái zhì)
才子	(cái zǐ)
才子佳人	(cái zǐ jiā rén)
材	(cái)
材积	(cái jī)
材料	(cái liào)
材料科学	(cái liào kē xué)
材料学	(cái liào xué)
材质	(cái zhì)
采	(cǎi)
采办	(cǎi bàn)
采茶	(cǎi chá)
采场	(cǎi chǎng)
采出	(cǎi chū)
采耳	(cǎi ěr)
采伐	(cǎi fá)
采访	(cǎi fǎng)
采访记者	(cǎi fǎng jì zhě)
采风	(cǎi fēng)
采购	(cǎi gòu)
采购商	(cǎi gòu shāng)
采购员	(cǎi gòu yuán)
采光	(cǎi guāng)
采果	(cǎi guǒ)
采花	(cǎi huā)
采花大盗	(cǎi huā dà dào)
采花贼	(cǎi huā zéi)
采集	(cǎi jí)
采景	(cǎi jǐng)
采掘	(cǎi jué)
采矿	(cǎi kuàng)
采矿业	(cǎi kuàng yè)
采录	(cǎi lù)
采买	(cǎi mǎi)
采煤	(cǎi méi)
采煤工作面	(cǎi méi gōng zuò miàn)
采棉机	(cǎi mián jī)
采纳	(cǎi nà)
采暖	(cǎi nuǎn)
采取	(cǎi qǔ)
采取行动	(cǎi qǔ xíng dòng)
采砂场	(cǎi shā chǎng)
采石场	(cǎi shí chǎng)
采食	(cǎi shí)
采收	(cǎi shōu)
采收率	(cǎi shōu lǜ)
采行	(cǎi xíng)
采样	(cǎi yàng)
采样率	(cǎi yàng lǜ)
采用	(cǎi yòng)
采油	(cǎi yóu)
采择	(cǎi zé)
采摘	(cǎi zhāi)
采证	(cǎi zhèng)
采脂	(cǎi zhī)
采制	(cǎi zhì)
采种	(cǎi zhǒng)
采珠	(cǎi zhū)
彩	(cǎi)
彩蚌	(cǎi bàng)
彩超	(cǎi chāo)
彩车	(cǎi chē)
彩带	(cǎi dài)
彩弹	(cǎi dàn)
彩蛋	(cǎi dàn)
彩电	(cǎi diàn)
彩鹳	(cǎi guàn)
彩虹	(cǎi hóng)
彩虹蜂虎	(cǎi hóng fēng hǔ)
彩虹屁	(cǎi hóng pì)
彩虹旗	(cǎi hóng qí)
彩虹吸蜜鹦鹉	(cǎi hóng xī mì yīng wǔ)
彩虹鹦鹉	(cǎi hóng yīng wǔ)
彩虹族群	(cǎi hóng zú qún)
彩画	(cǎi huà)
彩鹮	(cǎi huán)
彩绘	(cǎi huì)
彩卷	(cǎi juǎn)
彩扩	(cǎi kuò)
彩礼	(cǎi lǐ)
彩练	(cǎi liàn)
彩铃	(cǎi líng)
彩民	(cǎi mín)
彩泥	(cǎi ní)
彩排	(cǎi pái)
彩票	(cǎi piào)
彩旗	(cǎi qí)
彩券	(cǎi quàn)
彩色	(cǎi sè)
彩色笔	(cǎi sè bǐ)
彩声	(cǎi shēng)
彩塑	(cǎi sù)
彩头	(cǎi tóu)
彩霞	(cǎi xiá)
彩信	(cǎi xìn)
彩衣	(cǎi yī)
彩印	(cǎi yìn)
彩鹬	(cǎi yù)
彩云	(cǎi yún)
彩妆	(cǎi zhuāng)
寀	(cài)
睬	(cǎi)
埰	(cài)
参	(cān)
参拜	(cān bài)
参半	(cān bàn)
参差	(cēn cī)
参差不齐	(cēn cī bù qí)
参差错落	(cēn cī cuò luò)
参禅	(cān chán)
参访团	(cān fǎng tuán)
参股	(cān gǔ)
参观	(cān guān)
参劾	(cān hé)
参会	(cān huì)
参鸡汤	(shēn jī tāng)
参加	(cān jiā)
参加者	(cān jiā zhě)
参见	(cān jiàn)
参军	(cān jūn)
参卡尔	(cān kǎ ěr)
参看	(cān kàn)
参考	(cān kǎo)
参考材料	(cān kǎo cái liào)
参考书	(cān kǎo shū)
参考椭球体	(cān kǎo tuǒ qiú tǐ)
参考文献	(cān kǎo wén xiàn)
参考系	(cān kǎo xì)
参考消息	(cān kǎo xiāo xī)
参考资料	(cān kǎo zī liào)
参量	(cān liàng)
参量空间	(cān liàng kōng jiān)
参谋	(cān móu)
参谋长	(cān móu zhǎng)
参谋总长	(cān móu zǒng zhǎng)
参茸	(shēn róng)
参赛	(cān sài)
参赛者	(cān sài zhě)
参薯	(shēn shǔ)
参数	(cān shù)
参宿	(shēn xiù)
参宿七	(shēn xiù qī)
参孙	(cān sūn)
参天	(cān tiān)
参透	(cān tòu)
参悟	(cān wù)
参详	(cān xiáng)
参校	(cān jiào)
参选	(cān xuǎn)
参选率	(cān xuǎn lǜ)
参选人	(cān xuǎn rén)
参演	(cān yǎn)
参谒	(cān yè)
参议	(cān yì)
参议员	(cān yì yuán)
参议院	(cān yì yuàn)
参与	(cān yù)
参与者	(cān yù zhě)
参预	(cān yù)
参院	(cān yuàn)
参阅	(cān yuè)
参杂	(cān zá)
参赞	(cān zàn)
参展	(cān zhǎn)
参战	(cān zhàn)
参照	(cān zhào)
参照系	(cān zhào xì)
参政	(cān zhèng)
参政权	(cān zhèng quán)
参酌	(cān zhuó)
叄	(sān)
喰	(cān)
残	(cán)
残奥	(cán ào)
残奥会	(cán ào huì)
残败	(cán bài)
残暴	(cán bào)
残本	(cán běn)
残兵败将	(cán bīng bài jiàng)
残部	(cán bù)
残喘	(cán chuǎn)
残次	(cán cì)
残次品	(cán cì pǐn)
残存	(cán cún)
残敌	(cán dí)
残冬腊月	(cán dōng là yuè)
残毒	(cán dú)
残废	(cán fèi)
残羹	(cán gēng)
残羹剩饭	(cán gēng shèng fàn)
残骸	(cán hái)
残害	(cán hài)
残花败柳	(cán huā bài liǔ)
残疾	(cán jí)
残疾儿	(cán jí ér)
残疾人	(cán jí rén)
残茎	(cán jīng)
残局	(cán jú)
残卷	(cán juàn)
残酷	(cán kù)
残酷无情	(cán kù wú qíng)
残留	(cán liú)
残留物	(cán liú wù)
残民害物	(cán mín hài wù)
残膜	(cán mó)
残年短景	(cán nián duǎn jǐng)
残念	(cán niàn)
残虐	(cán nüè)
残品	(cán pǐn)
残破	(cán pò)
残缺	(cán quē)
残忍	(cán rěn)
残杀	(cán shā)
残生	(cán shēng)
残香	(cán xiāng)
残影	(cán yǐng)
残余	(cán yú)
残余物	(cán yú wù)
残余沾染	(cán yú zhān rǎn)
残垣	(cán yuán)
残垣败壁	(cán yuán bài bì)
残垣断壁	(cán yuán duàn bì)
残月	(cán yuè)
残渣	(cán zhā)
残渣余孽	(cán zhā yú niè)
残障	(cán zhàng)
残肢	(cán zhī)
残值	(cán zhí)
残株	(cán zhū)
惭	(cán)
惭愧	(cán kuì)
惨	(cǎn)
惨案	(cǎn àn)
惨白	(cǎn bái)
惨败	(cǎn bài)
惨变	(cǎn biàn)
惨不忍睹	(cǎn bù rěn dǔ)
惨不忍闻	(cǎn bù rěn wén)
惨怛	(cǎn dá)
惨淡	(cǎn dàn)
惨淡经营	(cǎn dàn jīng yíng)
惨澹	(cǎn dàn)
惨毒	(cǎn dú)
惨红	(cǎn hóng)
惨祸	(cǎn huò)
惨叫	(cǎn jiào)
惨景	(cǎn jǐng)
惨境	(cǎn jìng)
惨剧	(cǎn jù)
惨绝人寰	(cǎn jué rén huán)
惨酷	(cǎn kù)
惨况	(cǎn kuàng)
惨烈	(cǎn liè)
惨戮	(cǎn lù)
惨然	(cǎn rán)
惨杀	(cǎn shā)
惨事	(cǎn shì)
惨死	(cǎn sǐ)
惨痛	(cǎn tòng)
惨无人道	(cǎn wú rén dào)
惨笑	(cǎn xiào)
惨遭	(cǎn zāo)
惨遭不幸	(cǎn zāo bù xìng)
惨重	(cǎn zhòng)
惨状	(cǎn zhuàng)
憯	(cǎn)
仓	(cāng)
仓储	(cāng chǔ)
仓促	(cāng cù)
仓猝	(cāng cù)
仓敷	(cāng fū)
仓庚	(cāng gēng)
仓皇	(cāng huáng)
仓皇出逃	(cāng huáng chū táo)
仓皇失措	(cāng huáng shī cuò)
仓黄	(cāng huáng)
仓惶	(cāng huáng)
仓颉	(cāng jié)
仓库	(cāng kù)
仓廪	(cāng lǐn)
仓山区	(cāng shān qū)
仓鼠	(cāng shǔ)
仓位	(cāng wèi)
仓卒	(cāng cù)
伧	(cāng)
凔	(cāng)
操	(cāo)
操办	(cāo bàn)
操屄	(cào bī)
操逼	(cào bī)
操场	(cāo chǎng)
操持	(cāo chi)
操蛋	(cào dàn)
操刀	(cāo dāo)
操刀手	(cāo dāo shǒu)
操典	(cāo diǎn)
操舵	(cāo duò)
操舵室	(cāo duò shì)
操法	(cāo fǎ)
操斧伐柯	(cāo fǔ fá kē)
操觚	(cāo gū)
操航	(cāo háng)
操课	(cāo kè)
操控	(cāo kòng)
操劳	(cāo láo)
操练	(cāo liàn)
操你妈	(cào nǐ mā)
操弄	(cāo nòng)
操盘	(cāo pán)
操盘手	(cāo pán shǒu)
操坪	(cāo píng)
操切	(cāo qiè)
操神	(cāo shén)
操守	(cāo shǒu)
操心	(cāo xīn)
操行	(cāo xíng)
操演	(cāo yǎn)
操之过急	(cāo zhī guò jí)
操舟	(cāo zhōu)
操纵	(cāo zòng)
操纵杆	(cāo zòng gǎn)
操纵自如	(cāo zòng zì rú)
操作	(cāo zuò)
操作符	(cāo zuò fú)
操作规程	(cāo zuò guī chéng)
操作环境	(cāo zuò huán jìng)
操作数	(cāo zuò shù)
操作台	(cāo zuò tái)
操作系统	(cāo zuò xì tǒng)
操作员	(cāo zuò yuán)
操作者	(cāo zuò zhě)
曹	(cáo)
曹白鱼	(cáo bái yú)
曹不兴	(cáo bù xīng)
曹参	(cáo cān)
曹操	(cáo cāo)
曹冲	(cáo chōng)
曹妃甸区	(cáo fēi diàn qū)
曹刚川	(cáo gāng chuān)
曹靖华	(cáo jìng huá)
曹锟	(cáo kūn)
曹县	(cáo xiàn)
曹雪芹	(cáo xuě qín)
曹禺	(cáo yú)
曹植	(cáo zhí)
傮	(zāo)
嘈	(cáo)
嘈杂	(cáo zá)
嘈杂声	(cáo zá shēng)
槽	(cáo)
槽车	(cáo chē)
槽齿类	(cáo chǐ lèi)
槽齿目	(cáo chǐ mù)
槽点	(cáo diǎn)
槽坊	(cáo fang)
槽钢	(cáo gāng)
槽孔	(cáo kǒng)
槽头	(cáo tóu)
槽位	(cáo wèi)
槽牙	(cáo yá)
册	(cè)
册封	(cè fēng)
册亨县	(cè hēng xiàn)
册历	(cè lì)
册立	(cè lì)
册子	(cè zi)
厕	(cè)
厕具	(cè jù)
厕身	(cè shēn)
厕所	(cè suǒ)
厕纸	(cè zhǐ)
厕足	(cè zú)
侧	(cè)
侧壁	(cè bì)
侧边栏	(cè biān lán)
侧刀旁	(cè dāo páng)
侧耳	(cè ěr)
侧翻	(cè fān)
侧锋	(cè fēng)
侧根	(cè gēn)
侧记	(cè jì)
侧空翻	(cè kōng fān)
侧链	(cè liàn)
侧录	(cè lù)
侧门	(cè mén)
侧面	(cè miàn)
侧目	(cè mù)
侧身	(cè shēn)
侧生动物	(cè shēng dòng wù)
侧室	(cè shì)
侧手翻	(cè shǒu fān)
侧躺	(cè tǎng)
侧卧	(cè wò)
侧写	(cè xiě)
侧芽	(cè yá)
侧影	(cè yǐng)
侧载	(cè zài)
侧重	(cè zhòng)
侧重点	(cè zhòng diǎn)
恻	(cè)
恻隐	(cè yǐn)
恻隐之心	(cè yǐn zhī xīn)
敇	(chì)
䇲	(cè)
㟥	(cēn)
岑	(cén)
岑巩县	(cén gǒng xiàn)
岑彭	(cén péng)
岑溪市	(cén xī shì)
梣	(chén)
梣树	(chén shù)
噌	(chēng)
层	(céng)
层报	(céng bào)
层层	(céng céng)
层层传达	(céng céng chuán dá)
层层加码	(céng céng jiā mǎ)
层出不穷	(céng chū bù qióng)
层次	(céng cì)
层次分明	(céng cì fēn míng)
层叠	(céng dié)
层积云	(céng jī yún)
层级	(céng jí)
层见迭出	(céng xiàn dié chū)
层见叠出	(céng xiàn dié chū)
层理	(céng lǐ)
层流	(céng liú)
层楼	(céng lóu)
层峦	(céng luán)
层峦叠嶂	(céng luán dié zhàng)
层面	(céng miàn)
层压	(céng yā)
层压式推销	(céng yā shì tuī xiāo)
层岩	(céng yán)
层云	(céng yún)
层状	(céng zhuàng)
层子	(céng zi)
曾	(zēng)
曾参	(zēng shēn)
曾都区	(zēng dū qū)
曾巩	(zēng gǒng)
曾国藩	(zēng guó fān)
曾几何时	(céng jǐ hé shí)
曾纪泽	(zēng jì zé)
曾金燕	(zēng jīn yàn)
曾经	(céng jīng)
曾经沧海	(céng jīng cāng hǎi)
曾经沧海难为水，除却巫山不是云	(céng jīng cāng hǎi nán wéi shuǐ , chú què wū shān bù shì yún)
曾朴	(zēng pǔ)
曾孙	(zēng sūn)
曾孙女	(zēng sūn nǚ)
曾外祖父	(zēng wài zǔ fù)
曾外祖母	(zēng wài zǔ mǔ)
曾孝谷	(zēng xiào gǔ)
曾荫权	(zēng yīn quán)
曾子	(zēng zǐ)
曾祖	(zēng zǔ)
曾祖父	(zēng zǔ fù)
曾祖父母	(zēng zǔ fù mǔ)
曾祖母	(zēng zǔ mǔ)
嶒	(céng)
叉	(chǎ)
叉车	(chā chē)
叉乘	(chā chéng)
叉簧	(chā huáng)
叉积	(chā jī)
叉架	(chā jià)
叉圈	(chā quān)
叉烧	(chā shāo)
叉烧包	(chā shāo bāo)
叉勺	(chā sháo)
叉头	(chā tóu)
叉尾鸥	(chā wěi ōu)
叉尾太阳鸟	(chā wěi tài yáng niǎo)
叉形	(chā xíng)
叉腰	(chā yāo)
叉子	(chā zi)
扱	(xī)
扠	(chā)
杈	(chā)
插	(chā)
插班	(chā bān)
插播	(chā bō)
插播广告	(chā bō guǎng gào)
插补	(chā bǔ)
插不上手	(chā bu shàng shǒu)
插槽	(chā cáo)
插翅难飞	(chā chì nán fēi)
插队	(chā duì)
插管	(chā guǎn)
插喉	(chā hóu)
插花	(chā huā)
插画	(chā huà)
插话	(chā huà)
插件	(chā jiàn)
插脚	(chā jiǎo)
插进	(chā jìn)
插卡式	(chā kǎ shì)
插科打诨	(chā kē dǎ hùn)
插孔	(chā kǒng)
插口	(chā kǒu)
插排	(chā pái)
插曲	(chā qǔ)
插入	(chā rù)
插入因子	(chā rù yīn zǐ)
插入语	(chā rù yǔ)
插上	(chā shang)
插手	(chā shǒu)
插锁	(chā suǒ)
插头	(chā tóu)
插图	(chā tú)
插线板	(chā xiàn bǎn)
插销	(chā xiāo)
插眼	(chā yǎn)
插秧	(chā yāng)
插腰	(chā yāo)
插值	(chā zhí)
插足	(chā zú)
插嘴	(chā zuǐ)
